wgzmc8a2_px	wgzmc8a2_pc	wgzmc8a2_px	wgzmc8a2_pcon	wgzmc8a2_mx	wgzmc8a2_mc
0	370.1	0	2.4462	0	370.0804749
0.01086	366.3	0.01086	2.4462	0.05	359.7167664
0.03258	358.9	0.03258	2.4462	0.1	347.4511414
0.05429	351.6	0.05429	2.4462	0.15	333.6303711
0.07601	344.3	0.07601	2.4462	0.2	324.4217834
0.09773	337.1	0.09773	2.4462	0.25	306.1385193
0.1194	329.9	0.1194	2.4462	0.3	283.63974
0.1412	322.9	0.1412	2.4462	0.35	264.8774719
0.1629	315.9	0.1629	2.4462	0.4	244.7829132
0.1846	309	0.1846	2.4462	0.45	232.0233002
0.2063	302.1	0.2063	2.4462	0.5	217.1047821
0.228	295.4	0.228	2.4462	0.55	203.269043
0.2497	288.7	0.2497	2.4462	0.6	179.5851898
0.2715	282.1	0.2715	2.4462	0.65	172.4814606
0.2932	275.5	0.2932	2.4462	0.7	157.3591919
0.3149	269.1	0.3149	2.4462	0.75	146.1846466
0.3366	262.7	0.3366	2.4462	0.8	144.7850342
0.3583	256.3	0.3583	2.4462	0.85	135.7286377
0.3801	250.1	0.3801	2.4462	0.9	126.3886566
0.4018	243.9	0.4018	2.4462	0.95	109.3827667
0.4235	237.8	0.4235	2.4462	1	102.1825562
0.4452	231.8	0.4452	2.4462	1.05	92.42926788
0.4669	225.9	0.4669	2.4462	1.1	88.22457123
0.4886	220	0.4886	2.4462	1.15	79.82598877
0.5104	214.2	0.5104	2.4462	1.2	77.90493774
0.5321	208.5	0.5321	2.4462	1.25	73.54223633
0.5538	202.8	0.5538	2.4462	1.3	70.18413544
0.5755	197.3	0.5755	2.4462	1.35	65.43139648
0.5972	191.8	0.5972	2.4462	1.4	59.2216568
0.6189	186.3	0.6189	2.4462	1.45	55.02444839
0.6407	181	0.6407	2.4462	1.5	51.80190277
0.6624	175.7	0.6624	2.4462	1.55	45.80838394
0.6841	170.5	0.6841	2.4462	1.6	43.9871254
0.7058	165.4	0.7058	2.4462	1.65	41.9296875
0.7167	162.9	0.7167	2.4462	1.7	40.54919052
0.7167	162.9	0.7167	4.3416	1.75	37.99776459
0.7275	160.3	0.7275	4.3416	1.8	32.89242172
0.7492	155.4	0.7492	4.3416	1.85	31.97014809
0.771	150.6	0.771	4.3416	1.9	30.33351135
0.7927	146	0.7927	4.3416	1.95	29.66571617
0.8144	141.4	0.8144	4.3416	2	29.1817112
0.8361	137	0.8361	4.3416	2.05	29.5684166
0.8578	132.8	0.8578	4.3416	2.1	28.07065964
0.8795	128.6	0.8795	4.3416	2.15	26.24275017
0.9013	124.7	0.9013	4.3416		
0.923	120.8	0.923	4.3416		
0.9447	117.1	0.9447	4.3416		
0.9664	113.3	0.9664	4.3416		
0.9881	109.2	0.9881	4.3416		
1.01	104.9	1.01	4.3416		
1.032	100.6	1.032	4.3416		
1.053	96.45	1.053	4.3416		
1.075	92.48	1.075	4.3416		
1.097	88.68	1.097	4.3416		
1.118	85.06	1.118	4.3416		
1.14	81.62	1.14	4.3416		
1.162	78.36	1.162	4.3416		
1.184	75.28	1.184	4.3416		
1.205	72.38	1.205	4.3416		
1.227	69.65	1.227	4.3416		
1.249	67.11	1.249	4.3416		
1.27	64.74	1.27	4.3416		
1.292	62.55	1.292	4.3416		
1.314	60.53	1.314	4.3416		
1.336	58.7	1.336	4.3416		
1.357	57.04	1.357	4.3416		
1.379	55.57	1.379	4.3416		
1.401	54.27	1.401	4.3416		
1.422	53.15	1.422	4.3416		
1.433	52.68	1.433	4.3416		
1.433	52.68	1.433	0.127296		
1.444	52.21	1.444	0.127296		
1.466	51.27	1.466	0.127296		
1.488	50.34	1.488	0.127296		
1.509	49.41	1.509	0.127296		
1.531	48.49	1.531	0.127296		
1.553	47.57	1.553	0.127296		
1.574	46.66	1.574	0.127296		
1.596	45.76	1.596	0.127296		
1.618	44.85	1.618	0.127296		
1.64	43.96	1.64	0.127296		
1.661	43.07	1.661	0.127296		
1.683	42.18	1.683	0.127296		
1.705	41.3	1.705	0.127296		
1.727	40.43	1.727	0.127296		
1.748	39.56	1.748	0.127296		
1.77	38.7	1.77	0.127296		
1.792	37.84	1.792	0.127296		
1.813	36.98	1.813	0.127296		
1.835	36.14	1.835	0.127296		
1.857	35.29	1.857	0.127296		
1.879	34.46	1.879	0.127296		
1.9	33.62	1.9	0.127296		
1.922	32.8	1.922	0.127296		
1.944	31.97	1.944	0.127296		
1.965	31.16	1.965	0.127296		
1.987	30.34	1.987	0.127296		
2.009	29.54	2.009	0.127296		
2.031	28.71	2.031	0.127296		
2.052	27.81	2.052	0.127296		
2.074	26.89	2.074	0.127296		
2.096	25.97	2.096	0.127296		
2.117	25.07	2.117	0.127296		
2.139	24.16	2.139	0.127296		
2.15	23.71	2.15	0.127296		
