wgzmc9a3_px	wgzmc9a3_pc	wgzmc9a3_px	wgzmc9a3_pcon	wgzmc9a3_mx	wgzmc9a3_mc
0.00	320.3	0	0.58896	0	320.2757
0.01	317.8	0.01465	0.58896	0.1	308.0593
0.04	312.8	0.04394	0.58896	0.2	299.3763
0.07	307.8	0.07323	0.58896	0.3	283.4875
0.10	302.9	0.1025	0.58896	0.4	260.4991
0.13	298	0.1318	0.58896	0.5	250.6808
0.16	293.1	0.1611	0.58896	0.6	231.7619
0.19	288.3	0.1904	0.58896	0.7	212.2974
0.22	283.5	0.2197	0.58896	0.8	199.8185
0.25	278.7	0.249	0.58896	0.9	174.1428
0.28	274	0.2783	0.58896	1	161.2786
0.31	269.3	0.3076	0.58896	1.1	145.8121
0.34	264.6	0.3369	0.58896	1.2	131.7811
0.37	260	0.3662	0.58896	1.3	123.2632
0.40	255.4	0.3955	0.58896	1.4	109.4909
0.42	250.8	0.4247	0.58896	1.5	97.924
0.45	246.3	0.454	0.58896	1.6	82.8356
0.48	241.8	0.4833	0.58896	1.7	72.5974
0.51	237.3	0.5126	0.58896	1.8	66.7377
0.54	232.8	0.5419	0.58896	1.9	61.1933
0.57	228.4	0.5712	0.58896	2	55.7503
0.60	224	0.6005	0.58896	2.1	53.1203
0.63	219.7	0.6298	0.58896	2.2	49.1609
0.66	215.4	0.6591	0.58896	2.3	48.5917
0.69	211.1	0.6884	0.58896	2.4	48.9188
0.72	206.9	0.7177	0.58896	2.5	47.7355
0.75	202.7	0.747	0.58896	2.6	46.5098
0.78	198.5	0.7763	0.58896	2.7	45.7912
0.81	194.3	0.8056	0.58896	2.8	44.8013
0.83	190.2	0.8348	0.58896	2.9	44.1731
0.86	186.1	0.8641	0.58896	5	9.3955
0.89	182.1	0.8934	0.58896	9	0.7268
0.92	177.9	0.9227	0.58896	11	0.6644
0.95	173.4	0.952	0.58896	17	0
0.97	171	0.9667	0.58896		
0.97	171	0.9667	1.63656		
0.98	168.7	0.9813	1.63656		
1.01	163.6	1.011	1.63656		
1.04	158.5	1.04	1.63656		
1.07	153.6	1.069	1.63656		
1.10	148.7	1.098	1.63656		
1.13	144	1.128	1.63656		
1.16	139.4	1.157	1.63656		
1.19	134.9	1.186	1.63656		
1.22	130.5	1.216	1.63656		
1.25	126.3	1.245	1.63656		
1.27	122.2	1.274	1.63656		
1.30	118.2	1.304	1.63656		
1.33	114.3	1.333	1.63656		
1.36	110.5	1.362	1.63656		
1.39	106.9	1.391	1.63656		
1.42	103.4	1.421	1.63656		
1.45	100	1.45	1.63656		
1.48	96.75	1.479	1.63656		
1.51	93.61	1.509	1.63656		
1.54	90.59	1.538	1.63656		
1.57	87.69	1.567	1.63656		
1.60	84.92	1.596	1.63656		
1.63	82.27	1.626	1.63656		
1.66	79.74	1.655	1.63656		
1.68	77.33	1.684	1.63656		
1.71	75.04	1.714	1.63656		
1.74	72.88	1.743	1.63656		
1.77	70.84	1.772	1.63656		
1.80	68.92	1.802	1.63656		
1.83	67.13	1.831	1.63656		
1.86	65.45	1.86	1.63656		
1.89	63.9	1.889	1.63656		
1.92	62.45	1.919	1.63656		
1.93	61.75	1.933	1.63656		
1.93	61.75	1.933	0.75096		
1.95	61.06	1.948	0.75096		
1.98	59.69	1.977	0.75096		
2.01	58.32	2.007	0.75096		
2.04	56.99	2.036	0.75096		
2.07	55.73	2.065	0.75096		
2.09	54.54	2.094	0.75096		
2.12	53.4	2.124	0.75096		
2.15	52.34	2.153	0.75096		
2.18	51.34	2.182	0.75096		
2.21	50.4	2.212	0.75096		
2.24	49.54	2.241	0.75096		
2.27	48.73	2.27	0.75096		
2.30	47.99	2.299	0.75096		
2.33	47.32	2.329	0.75096		
2.36	46.71	2.358	0.75096		
2.39	46.17	2.387	0.75096		
2.42	45.69	2.417	0.75096		
2.45	45.28	2.446	0.75096		
2.48	44.93	2.475	0.75096		
2.51	44.65	2.505	0.75096		
2.53	44.44	2.534	0.75096		
2.56	44.29	2.563	0.75096		
2.59	44.2	2.592	0.75096		
2.62	44.18	2.622	0.75096		
2.65	44.23	2.651	0.75096		
2.68	44.34	2.68	0.75096		
2.71	44.51	2.71	0.75096		
2.74	44.76	2.739	0.75096		
2.77	45.06	2.768	0.75096		
2.80	45.44	2.797	0.75096		
2.83	45.87	2.827	0.75096		
2.86	46.38	2.856	0.75096		
2.89	46.95	2.885	0.75096		
2.90	47.26	2.9	0.75096		
					
