wgzmc8a1_px	wgzmc8a1_pc	wgzmc8a1_px	wgzmc8a1_pcon	wgzmc8a1_mx	wgzmc8a1_mc
0	330.3	0	10.008	0	330.2606201
0.00375	328.2	0.00375	10.008	0.05	307.2720337
0.01125	324	0.01125	10.008	0.1	280.7207336
0.01875	319.9	0.01875	10.008	0.15	256.6942749
0.02625	315.8	0.02625	10.008	0.2	230.45401
0.03375	311.7	0.03375	10.008	0.25	203.3305817
0.04125	307.7	0.04125	10.008	0.3	201.3754272
0.04875	303.7	0.04875	10.008	0.35	177.8853607
0.05625	299.7	0.05625	10.008	0.4	156.2523041
0.06375	295.8	0.06375	10.008	0.45	141.0028076
0.07125	291.9	0.07125	10.008	0.5	130.5817108
0.07875	288.1	0.07875	10.008	0.55	121.2575378
0.08625	284.3	0.08625	10.008	0.6	114.6560974
0.09375	280.5	0.09375	10.008	0.65	102.4686356
0.1013	276.8	0.1013	10.008	0.7	93.514534
0.1088	273.1	0.1088	10.008	0.75	85.84612274
0.1163	269.4	0.1163	10.008		
0.1238	265.8	0.1238	10.008		
0.1313	262.2	0.1313	10.008		
0.1388	258.6	0.1388	10.008		
0.1463	255.1	0.1463	10.008		
0.1538	251.6	0.1538	10.008		
0.1613	248.2	0.1613	10.008		
0.1688	244.7	0.1688	10.008		
0.1763	241.4	0.1763	10.008		
0.1838	238	0.1838	10.008		
0.1913	234.7	0.1913	10.008		
0.1988	231.5	0.1988	10.008		
0.2063	228.2	0.2063	10.008		
0.2138	225	0.2138	10.008		
0.2213	221.9	0.2213	10.008		
0.2288	218.7	0.2288	10.008		
0.2363	215.7	0.2363	10.008		
0.2438	212.6	0.2438	10.008		
0.2513	209.6	0.2513	10.008		
0.2588	206.6	0.2588	10.008		
0.2663	203.7	0.2663	10.008		
0.2738	200.8	0.2738	10.008		
0.2813	197.9	0.2813	10.008		
0.2888	195.1	0.2888	10.008		
0.2963	192.3	0.2963	10.008		
0.3038	189.5	0.3038	10.008		
0.3113	186.8	0.3113	10.008		
0.3188	184.1	0.3188	10.008		
0.3263	181.5	0.3263	10.008		
0.3338	178.8	0.3338	10.008		
0.3413	176.3	0.3413	10.008		
0.3488	173.7	0.3488	10.008		
0.3563	171.2	0.3563	10.008		
0.3638	168.8	0.3638	10.008		
0.3713	166.3	0.3713	10.008		
0.3788	163.9	0.3788	10.008		
0.3863	161.6	0.3863	10.008		
0.3938	159.2	0.3938	10.008		
0.4013	157	0.4013	10.008		
0.4088	154.7	0.4088	10.008		
0.4163	152.5	0.4163	10.008		
0.4238	150.3	0.4238	10.008		
0.4313	148.2	0.4313	10.008		
0.4388	146.1	0.4388	10.008		
0.4463	144	0.4463	10.008		
0.4538	142	0.4538	10.008		
0.4613	140	0.4613	10.008		
0.4688	138	0.4688	10.008		
0.4763	136.1	0.4763	10.008		
0.4838	134.2	0.4838	10.008		
0.4913	132.3	0.4913	10.008		
0.4988	130.5	0.4988	10.008		
0.5063	128.7	0.5063	10.008		
0.5138	127	0.5138	10.008		
0.5213	125.3	0.5213	10.008		
0.5288	123.6	0.5288	10.008		
0.5363	122	0.5363	10.008		
0.5438	120.4	0.5438	10.008		
0.5513	118.8	0.5513	10.008		
0.5587	117.3	0.5587	10.008		
0.5662	115.8	0.5662	10.008		
0.5737	114.3	0.5737	10.008		
0.5812	112.9	0.5812	10.008		
0.5887	111.5	0.5887	10.008		
0.5962	110.2	0.5962	10.008		
0.6037	108.9	0.6037	10.008		
0.6112	107.6	0.6112	10.008		
0.6187	106.4	0.6187	10.008		
0.6262	105.2	0.6262	10.008		
0.6337	104	0.6337	10.008		
0.6412	102.9	0.6412	10.008		
0.6487	101.8	0.6487	10.008		
0.6562	100.8	0.6562	10.008		
0.6637	99.74	0.6637	10.008		
0.6712	98.76	0.6712	10.008		
0.6787	97.81	0.6787	10.008		
0.6862	96.9	0.6862	10.008		
0.6937	96.03	0.6937	10.008		
0.7012	95.19	0.7012	10.008		
0.7087	94.39	0.7087	10.008		
0.7162	93.63	0.7162	10.008		
0.7237	92.9	0.7237	10.008		
0.7312	92.21	0.7312	10.008		
0.7387	91.55	0.7387	10.008		
0.7462	90.94	0.7462	10.008		
0.75	90.64	0.75	10.008		
