wgzmc8a3_px	wgzmc8a3_pc	wgzmc8a3_px	wgzmc8a3_pcon	wgzmc8a3_mx	wgzmc8a3_mc
0	360.2	0	2.421	0	360.2224121
0.0135	354.9	0.0135	2.421	0.1	315.7637329
0.0405	344.4	0.0405	2.421	0.2	295.6425781
0.0675	334.1	0.0675	2.421	0.3	271.2701721
0.0945	323.8	0.0945	2.421	0.4	228.858963
0.1215	313.7	0.1215	2.421	0.5	171.7230225
0.1485	303.7	0.1485	2.421	0.6	147.1327057
0.1755	293.8	0.1755	2.421	0.7	122.8592453
0.2025	284	0.2025	2.421	0.8	111.719635
0.2295	274.3	0.2295	2.421	0.9	94.58733368
0.2565	264.8	0.2565	2.421	1	80.70418549
0.2835	255.3	0.2835	2.421	1.1	74.35224152
0.3105	246	0.3105	2.421	1.2	67.7333374
0.3375	236.7	0.3375	2.421	1.3	62.70034409
0.3645	227.6	0.3645	2.421	1.4	57.41537094
0.3915	218.6	0.3915	2.421	1.5	53.67305756
0.4185	209.8	0.4185	2.421	1.6	47.61716843
0.4455	201	0.4455	2.421	1.7	45.16637039
0.4725	192.4	0.4725	2.421	1.8	42.30724335
0.4995	183.8	0.4995	2.421	1.9	41.02986908
0.5265	175.4	0.5265	2.421	2	39.5063324
0.54	171.2	0.54	2.421	2.1	37.42560577
0.54	171.2	0.54	7.506	2.2	35.00973511
0.5535	167.1	0.5535	7.506	2.3	34.1515007
0.5805	159.1	0.5805	7.506	2.4	31.95933723
0.6075	151.5	0.6075	7.506	2.5	30.27113914
0.6345	144.3	0.6345	7.506	2.6	28.26858711
0.6615	137.4	0.6615	7.506	2.7	25.31631851
0.6885	130.8	0.6885	7.506		
0.7155	124.6	0.7155	7.506		
0.7425	118.8	0.7425	7.506		
0.7695	113.3	0.7695	7.506		
0.7965	108.1	0.7965	7.506		
0.8235	103.4	0.8235	7.506		
0.8505	98.93	0.8505	7.506		
0.8775	94.85	0.8775	7.506		
0.9045	91.13	0.9045	7.506		
0.9315	87.69	0.9315	7.506		
0.9585	84.49	0.9585	7.506		
0.9855	81.56	0.9855	7.506		
1.013	78.92	1.013	7.506		
1.04	76.64	1.04	7.506		
1.067	74.77	1.067	7.506		
1.08	74.04	1.08	7.506		
1.08	74.04	1.08	0.46116		
1.094	73.31	1.094	0.46116		
1.121	71.87	1.121	0.46116		
1.148	70.46	1.148	0.46116		
1.175	69.08	1.175	0.46116		
1.202	67.71	1.202	0.46116		
1.228	66.38	1.228	0.46116		
1.255	65.07	1.255	0.46116		
1.282	63.78	1.282	0.46116		
1.309	62.52	1.309	0.46116		
1.336	61.29	1.336	0.46116		
1.363	60.08	1.363	0.46116		
1.39	58.9	1.39	0.46116		
1.417	57.74	1.417	0.46116		
1.444	56.6	1.444	0.46116		
1.471	55.5	1.471	0.46116		
1.498	54.41	1.498	0.46116		
1.525	53.35	1.525	0.46116		
1.552	52.32	1.552	0.46116		
1.579	51.31	1.579	0.46116		
1.606	50.33	1.606	0.46116		
1.633	49.37	1.633	0.46116		
1.66	48.44	1.66	0.46116		
1.687	47.53	1.687	0.46116		
1.714	46.65	1.714	0.46116		
1.741	45.79	1.741	0.46116		
1.768	44.96	1.768	0.46116		
1.795	44.16	1.795	0.46116		
1.822	43.38	1.822	0.46116		
1.849	42.62	1.849	0.46116		
1.876	41.89	1.876	0.46116		
1.903	41.18	1.903	0.46116		
1.93	40.48	1.93	0.46116		
1.957	39.74	1.957	0.46116		
1.984	38.98	1.984	0.46116		
2.011	38.19	2.011	0.46116		
2.038	37.41	2.038	0.46116		
2.065	36.65	2.065	0.46116		
2.092	35.94	2.092	0.46116		
2.119	35.25	2.119	0.46116		
2.146	34.6	2.146	0.46116		
2.173	33.99	2.173	0.46116		
2.2	33.41	2.2	0.46116		
2.227	32.86	2.227	0.46116		
2.254	32.35	2.254	0.46116		
2.281	31.87	2.281	0.46116		
2.308	31.43	2.308	0.46116		
2.335	31.02	2.335	0.46116		
2.362	30.64	2.362	0.46116		
2.389	30.3	2.389	0.46116		
2.416	29.99	2.416	0.46116		
2.443	29.72	2.443	0.46116		
2.47	29.48	2.47	0.46116		
2.498	29.27	2.498	0.46116		
2.525	29.1	2.525	0.46116		
2.552	28.96	2.552	0.46116		
2.579	28.86	2.579	0.46116		
2.606	28.79	2.606	0.46116		
2.633	28.76	2.633	0.46116		
2.66	28.76	2.66	0.46116		
2.687	28.79	2.687	0.46116		
2.7	28.82	2.7	0.46116		
