wgzmc9a1_px	wgzmc9a1_pc	wgzmc9a1_px	wgzmc9a1_pcon	wgzmc9a1_mx	wgzmc9a1_mc
0.00	300.7	0	49.824	0	300.7396
0.02	281.2	0.01675	49.824	0.05	234.1921
0.05	245.9	0.05025	49.824	0.1	183.307
0.08	214.2	0.08375	49.824	0.15	142.12
0.12	186	0.1173	49.824	0.2	122.8662
0.15	161.5	0.1508	49.824	0.25	112.5541
0.18	140.6	0.1843	49.824	0.3	107.9759
0.22	123.3	0.2178	49.824	0.35	105.7006
0.25	109.6	0.2512	49.824	0.4	100.8535
0.28	99.48	0.2847	49.824	0.45	97.4586
0.32	92.98	0.3182	49.824	0.5	87.6387
0.34	91.53	0.335	49.824	0.55	81.4244
0.34	91.53	0.335	1.18656	0.6	76.4987
0.35	90.08	0.3517	1.18656	0.65	64.9585
0.39	87.27	0.3852	1.18656	0.75	55.6889
0.42	84.54	0.4187	1.18656	0.85	45.9484
0.45	81.9	0.4522	1.18656	0.95	44.0418
0.49	79.34	0.4857	1.18656	1.05	43.567
0.52	76.88	0.5192	1.18656	1.15	41.3852
0.55	74.49	0.5527	1.18656	1.25	40.7468
0.59	72.19	0.5862	1.18656	1.35	39.4471
0.62	69.98	0.6197	1.18656	1.45	40.0062
0.65	67.86	0.6532	1.18656	1.55	38.6075
0.69	65.82	0.6867	1.18656	1.65	38.0461
0.72	63.86	0.7202	1.18656	1.75	36.5177
0.75	61.99	0.7537	1.18656	1.85	35.2377
0.79	60.21	0.7872	1.18656	1.95	33.8351
0.82	58.51	0.8207	1.18656	2.05	33.3358
0.85	56.9	0.8542	1.18656	2.15	31.743
0.89	55.38	0.8877	1.18656	2.25	30.4559
0.92	53.94	0.9212	1.18656	2.35	29.5282
0.95	52.59	0.9547	1.18656	2.45	27.9636
0.99	51.25	0.9882	1.18656	2.55	28.0579
1.02	49.88	1.022	1.18656	2.65	27.1624
1.06	48.47	1.055	1.18656	2.75	27.2135
1.09	47.1	1.089	1.18656	2.85	26.7426
1.12	45.85	1.122	1.18656	2.95	26.4242
1.16	44.72	1.156	1.18656	3.05	25.7283
1.19	43.7	1.189	1.18656	3.15	25.4296
1.22	42.8	1.223	1.18656	3.25	22.0496
1.26	42.02	1.256	1.18656	3.35	21.6156
1.29	41.35	1.29	1.18656	5	9.3955
1.32	40.79	1.323	1.18656	9	0.7268
1.34	40.57	1.34	1.18656	11	0.6644
1.34	40.57	1.34	0.059724	17	0
1.36	40.36	1.357	0.059724		
1.39	39.92	1.39	0.059724		
1.42	39.5	1.424	0.059724		
1.46	39.08	1.457	0.059724		
1.49	38.67	1.491	0.059724		
1.52	38.26	1.524	0.059724		
1.56	37.85	1.558	0.059724		
1.59	37.46	1.591	0.059724		
1.63	37.07	1.625	0.059724		
1.66	36.68	1.658	0.059724		
1.69	36.3	1.692	0.059724		
1.73	35.93	1.725	0.059724		
1.76	35.56	1.759	0.059724		
1.79	35.2	1.792	0.059724		
1.83	34.85	1.826	0.059724		
1.86	34.5	1.859	0.059724		
1.89	34.15	1.893	0.059724		
1.93	33.81	1.926	0.059724		
1.96	33.48	1.96	0.059724		
1.99	33.15	1.993	0.059724		
2.03	32.8	2.027	0.059724		
2.06	32.44	2.06	0.059724		
2.09	32.08	2.094	0.059724		
2.13	31.73	2.127	0.059724		
2.16	31.38	2.161	0.059724		
2.19	31.04	2.194	0.059724		
2.23	30.71	2.228	0.059724		
2.26	30.39	2.261	0.059724		
2.30	30.07	2.295	0.059724		
2.33	29.75	2.328	0.059724		
2.36	29.45	2.362	0.059724		
2.40	29.15	2.395	0.059724		
2.43	28.86	2.429	0.059724		
2.46	28.57	2.462	0.059724		
2.50	28.29	2.496	0.059724		
2.53	28.02	2.529	0.059724		
2.56	27.76	2.563	0.059724		
2.60	27.5	2.596	0.059724		
2.63	27.25	2.63	0.059724		
2.66	27	2.663	0.059724		
2.70	26.77	2.697	0.059724		
2.73	26.54	2.73	0.059724		
2.76	26.31	2.764	0.059724		
2.80	26.09	2.797	0.059724		
2.83	25.88	2.831	0.059724		
2.86	25.68	2.864	0.059724		
2.90	25.48	2.898	0.059724		
2.93	25.29	2.931	0.059724		
2.97	25.11	2.965	0.059724		
3.00	24.93	2.998	0.059724		
3.03	24.76	3.032	0.059724		
3.07	24.6	3.065	0.059724		
3.10	24.45	3.099	0.059724		
3.13	24.3	3.132	0.059724		
3.17	24.15	3.166	0.059724		
3.20	24.02	3.199	0.059724		
3.23	23.89	3.233	0.059724		
3.27	23.77	3.266	0.059724		
3.30	23.65	3.3	0.059724		
3.33	23.54	3.333	0.059724		
3.35	23.49	3.35	0.059724		
