Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
Bellingshausen Sea,Southern Ocean,-69.5,-97.44,exact location,4299,abyssal plain/ continental rise (>2000m),0.08,in situ,lander with microprofiler,DOU,NA,not investigated,no
Weddell Abyssal Plain,Southern Ocean,-59.99,3.55,exact location,5341,abyssal plain/ continental rise (>2000m),0.08,in situ,lander with microprofiler,DOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,37.25,-68.68,exact location,4670,abyssal plain/ continental rise (>2000m),0.09,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
"Tonga Trench, abyssal site",Pacific Ocean,-23.61,-174.28,exact location,6256,abyssal plain/ continental rise (>2000m),0.09,in situ,lander with microprofiler,DOU,NA,not investigated,no
Pacific Ocean,Pacific Ocean,33.03,-139.51,exact location,4980,abyssal plain/ continental rise (>2000m),0.09,in situ,porewater extraction,DOU,clay,not investigated,no
Pacific Ocean,Pacific Ocean,10.86,142.57,exact location,6000,abyssal plain/ continental rise (>2000m),0.09,in situ,lander with microprofiler,DOU,NA,not investigated,no
W Atlantic Ocean,Atlantic Ocean,16.9897,-46.0153,exact location,3185,abyssal plain/ continental rise (>2000m),0.1,in situ,lander with microprofiler,DOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,27.9271,-92.0789,exact location,130,continental shelf (>50-200m),0.1,in situ,lander with benthic chambers,TOU,NA,no,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-158.5,approximated location,5900,abyssal plain/ continental rise (>2000m),0.1,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Baynes Sound, Vancover island",Pacific Ocean,49.51,-124.83,exact location,1,near-shore (0-50m),0.1,in situ,benthic incubation chamber,TOU,sand/ gravel,yes,no
Station M,Pacific Ocean,34.8,-122.92,exact location,4085,abyssal plain/ continental rise (>2000m),0.1,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
"E Gotland Basin, Baltic Sea",Atlantic Ocean,57.4415,20.7248,exact location,65,continental shelf (>50-200m),0.11,ex situ ,core microprofiling,DOU,NA,no,no
N Aegean,Mediterranean Sea,40.32,25.18,exact location,698,continental slope (>200-2000m),0.11,ex situ ,core incubation,TOU,NA,not investigated,no
Enderby Abyssal Plain ,Southern Ocean,-65.94,-30.83,exact location,4442,abyssal plain/ continental rise (>2000m),0.11,in situ,lander with microprofiler,DOU,NA,not investigated,no
N Greenland,Arctic Ocean,74.88,-12.85,exact location,899,continental slope (>200-2000m),0.12,ex situ ,core incubation,TOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,79.17,119.79,exact location,3051,abyssal plain/ continental rise (>2000m),0.12,ex situ ,core microprofiling,DOU,silt,not investigated,no
Scotia Sea,Southern Ocean,-57.76,-25.34,exact location,3880,abyssal plain/ continental rise (>2000m),0.12,in situ,lander with microprofiler,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-158.5,exact location,5900,abyssal plain/ continental rise (>2000m),0.13,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Cape Basin,Southern Ocean,-43,4.99,exact location,4909,abyssal plain/ continental rise (>2000m),0.13,in situ,lander with microprofiler,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-158.5,approximated location,5900,abyssal plain/ continental rise (>2000m),0.133333333,in situ,lander with benthic chambers,TOU,NA,not investigated,no
N Greenland,Arctic Ocean,80.93,-6,exact location,1280,continental slope (>200-2000m),0.14,ex situ ,core incubation,TOU,NA,not investigated,no
Lake Hazen,Lake,81.825,-70.715,exact location,260,high arctic,0.14,ex situ,core microprofiling,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-158.5,approximated location,5900,abyssal plain/ continental rise (>2000m),0.14,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,-12,-135,approximated location,4300,abyssal plain/ continental rise (>2000m),0.14,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Station M,Pacific Ocean,34.73,-122.98,exact location,4095,abyssal plain/ continental rise (>2000m),0.14,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
E Greenland continental margin,Arctic Ocean,80.48,-5.08,exact location,1944,continental slope (>200-2000m),0.15,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,78.49,132.92,exact location,2534,abyssal plain/ continental rise (>2000m),0.15,ex situ ,core microprofiling,DOU,clay,not investigated,no
Station M,Pacific Ocean,34.94,-123.12,exact location,4062,abyssal plain/ continental rise (>2000m),0.15,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Challenger Deep,Pacific Ocean,11.38,142.44,exact location,10900,abyssal plain/ continental rise (>2000m),0.15,in situ,lander with microprofiler,DOU,NA,not investigated,no
Weddell Abyssal Plain,Southern Ocean,-65.03,-9.19,exact location,4783,abyssal plain/ continental rise (>2000m),0.15,in situ,lander with microprofiler,DOU,NA,not investigated,no
Station M,Pacific Ocean,34.79,-122.93,exact location,4090,abyssal plain/ continental rise (>2000m),0.16,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.9302,120.2758,exact location,1063,continental slope (>200-2000m),0.1633521,ex situ,core microprofiling,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-133,approximated location,4900,abyssal plain/ continental rise (>2000m),0.166666667,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-133,approximated location,4900,abyssal plain/ continental rise (>2000m),0.17,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Station M,Pacific Ocean,34.89,-123.13,exact location,4081,abyssal plain/ continental rise (>2000m),0.17,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.403,120.2238,exact location,279,continental slope (>200-2000m),0.175729,ex situ,core microprofiling,DOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.69,-158.45,exact location,216,continental slope (>200-2000m),0.18,ex situ ,core incubation,TOU,silt,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,38.79,-70.13,exact location,3000,abyssal plain/ continental rise (>2000m),0.18,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,38.3,-69.59,exact location,3650,abyssal plain/ continental rise (>2000m),0.18,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
Station ALOHA,Pacific Ocean,22.75,-158,exact location,4730,abyssal plain/ continental rise (>2000m),0.18,in situ,lander with benthic chambers,TOU,clay,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-158.5,approximated location,5900,abyssal plain/ continental rise (>2000m),0.183333333,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Greenland Sea,Arctic Ocean,74.95,-10.96,exact location,2828,abyssal plain/ continental rise (>2000m),0.19,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,78,118.59,exact location,1930,continental slope (>200-2000m),0.19,ex situ ,core microprofiling,DOU,clay,not investigated,no
Laptev Sea,Arctic Ocean,78.71,132.3,exact location,2976,abyssal plain/ continental rise (>2000m),0.19,ex situ ,core microprofiling,DOU,clay,not investigated,no
Cretan Sea ,Mediterranean Sea,35.7617,25.1,approximated location,1570,continental slope (>200-2000m),0.19,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
E Greenland continental margin,Arctic Ocean,78.98,-4.02,exact location,1950,continental slope (>200-2000m),0.2,in situ,lander with microprofiler,DOU,NA,not investigated,no
Mariana Trench,Pacific Ocean,11.4037,142.363,exact location,10853,abyssal plain/ continental rise (>2000m),0.2,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Hannah Shoal,Arctic Ocean,73.82,-156.83,exact location,3894,abyssal plain/ continental rise (>2000m),0.22,ex situ ,core incubation,TOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,38.79,-70.13,exact location,3000,abyssal plain/ continental rise (>2000m),0.22,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,42.63,-10,exact location,2170,abyssal plain/ continental rise (>2000m),0.22,ex situ ,core incubation,TOU,NA,not investigated,no
Clarion-Clipperton Fracture Zone,Pacific Ocean,12.38,-116.5,exact location,4146,abyssal plain/ continental rise (>2000m),0.22,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Laptev Sea,Arctic Ocean,75.75,-162.53,exact location,2053,abyssal plain/ continental rise (>2000m),0.23,ex situ ,core incubation,TOU,NA,not investigated,no
central Greenland Sea,Arctic Ocean,75.06,-4.59,exact location,3627,abyssal plain/ continental rise (>2000m),0.23,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,77.54,118.46,exact location,1104,continental slope (>200-2000m),0.23,ex situ ,core microprofiling,DOU,clay,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.23,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Tonga Trench, hadal site",Pacific Ocean,-23.28,-174.75,exact location,10807,abyssal plain/ continental rise (>2000m),0.23,in situ,lander with microprofiler,DOU,NA,not investigated,no
Argentine Basin,Southern Ocean,-45.76,-38.17,exact location,5318,abyssal plain/ continental rise (>2000m),0.23,in situ,lander with microprofiler,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-158.5,approximated location,5900,abyssal plain/ continental rise (>2000m),0.233333333,in situ,lander with benthic chambers,TOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,38.3,-69.59,exact location,3650,abyssal plain/ continental rise (>2000m),0.24,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
Argentine Basin,Southern Ocean,-45.01,-38.54,exact location,4886,abyssal plain/ continental rise (>2000m),0.24,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,77.69,125.86,exact location,1985,continental slope (>200-2000m),0.25,ex situ ,core microprofiling,DOU,NA,not investigated,no
