Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
Rockall Trough,Atlantic Ocean,55.03,-12.05,exact location,2880,abyssal plain/ continental rise (>2000m),2.52,ex situ ,core incubation,TOU,NA,not investigated,no
Mediterranean Sea,Mediterranean Sea,43.22,3.78,exact location,80,continental shelf (>50-200m),2.52,ex situ ,core microprofiling,DOU,silt,NA,no
Chukchi Sea,Arctic Ocean,72.7298,-158.4551,exact location,244,continental slope (>200-2000m),2.54,ex situ,core microprofiling,DOU,NA,not investigated,no
E Barrow,Arctic Ocean,71.31,-152.6,exact location,52,continental shelf (>50-200m),2.54,ex situ ,core incubation,TOU,NA,NA,no
Adriatic Sea,Mediterranean Sea,42.85,14.75,exact location,251,continental slope (>200-2000m),2.54,in situ,benthic incubation chamber,TOU,silt,not investigated,no
Nares Strait,Arctic Ocean,78.99,-73.33,exact location,548,continental slope (>200-2000m),2.55,ex situ ,core incubation,TOU,sand/ gravel,not investigated,no
Bering Sea,Pacific Ocean,62.05,-175.2,exact location,83,continental shelf (>50-200m),2.55,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.78,-171.3,exact location,47,near-shore (0-50m),2.55,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.7827,-171.2974,exact location,47,near-shore (0-50m),2.55,ex situ ,core incubation,TOU,silt,NA,no
British Columbia,Pacific Ocean,48.43,-126.17,exact location,397,continental slope (>200-2000m),2.55,ex situ ,core incubation,TOU,NA,not investigated,no
Arctic Ocean,Arctic Ocean,71.072,-133.876,exact location,318,continental slope (>200-2000m),2.558479532,ex situ ,core incubation,TOU,NA,not investigated,no
Washington,Pacific Ocean,46.8,-124.93,exact location,462,continental slope (>200-2000m),2.57,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Cretan Sea ,Mediterranean Sea,35.4236,25.1,approximated location,200,continental shelf (>50-200m),2.59,in situ,lander with benthic chambers,TOU,silt/ sand/ clay,not investigated,no
Chatham Rise,Pacific Ocean,-42.79,-176.71,exact location,1016,continental slope (>200-2000m),2.59,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-42.77,176.7,exact location,1029,continental slope (>200-2000m),2.59,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
Svalbard,Arctic Ocean,79.44,28.81,exact location,303,continental slope (>200-2000m),2.6,ex situ ,core incubation,TOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.09,-13.43,exact location,3719,abyssal plain/ continental rise (>2000m),2.6,in situ,lander with microprofiler,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.16,-13.09,exact location,2247,abyssal plain/ continental rise (>2000m),2.6,in situ,lander with microprofiler,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.37,-11.75,exact location,999,continental slope (>200-2000m),2.6,ex situ,core microprofiling,DOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.7422,-2.6335,exact location,2985,abyssal plain/ continental rise (>2000m),2.6,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.6913,-2.3357,exact location,2025,abyssal plain/ continental rise (>2000m),2.6,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.7428,-2.1357,exact location,515,continental slope (>200-2000m),2.6,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Skagerrak, North Sea",Atlantic Ocean,58.3,9.9,exact location,621,continental slope (>200-2000m),2.6,ex situ ,core microprofiling,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-6.55,10.31,exact location,3107,abyssal plain/ continental rise (>2000m),2.6,ex situ,core microprofiling,DOU,NA,not investigated,no
Lake Baikal,Lake,52.077,105.86,exact location,160,rift lake,2.6,ex situ,core microprofiling,DOU,NA,not investigated,no
central Chile,Pacific Ocean,-43.2333,-80.45,exact location,3533,abyssal plain/ continental rise (>2000m),2.6,in situ,core incubation,TOU,NA,not investigated,no
central Chile,Pacific Ocean,-43.2167,-76,exact location,3459,abyssal plain/ continental rise (>2000m),2.6,in situ,core microprofiling,DOU,NA,not investigated,no
central Chile,Pacific Ocean,-42.0317,-75.3017,exact location,3012,abyssal plain/ continental rise (>2000m),2.6,in situ,core microprofiling,DOU,NA,not investigated,no
Whillans Grounding Zone,Southern Ocean,-84.3354,-163.6119,exact location,770,continental slope (>200-2000m),2.6,ex situ,core microprofiling,DOU,NA,not investigated,yes
Beaufort Sea,Arctic Ocean,73.22,-160.2,exact location,500,continental slope (>200-2000m),2.61,ex situ ,core microprofiling,DOU,NA,not investigated,no
Aegean Sea,Mediterranean Sea,39.77,25.73,exact location,89,continental shelf (>50-200m),2.61,in situ,lander with benthic chambers,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,72.13,-154.49,exact location,1635,continental slope (>200-2000m),2.62,ex situ ,core incubation,TOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.9302,120.2758,exact location,1063,continental slope (>200-2000m),2.6339196,ex situ,core incubation,TOU,NA,not investigated,no
Young Sound,Arctic Ocean,74.3,-20.3,approximated location,116.2,continental shelf (>50-200m),2.64,in situ,eddy covariance system,TOU,cohesive mud,yes,no
NE Water Polynya,Arctic Ocean,80.02,-15.89,exact location,420,continental slope (>200-2000m),2.64,ex situ ,core incubation,TOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,80.32,-9.51,exact location,316,continental slope (>200-2000m),2.64,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-43.8533,178.5783,exact location,489,continental slope (>200-2000m),2.64,ex situ ,core incubation,TOU,sandy silt,not investigated,no
Svalbard,Arctic Ocean,81.5167,16.7,exact location,2577,abyssal plain/ continental rise (>2000m),2.67,ex situ ,core incubation,TOU,NA,not investigated,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),2.688172043,in situ,benthic incubation chamber,TOU,fine sand,yes,no
California,Pacific Ocean,32.47,-120.33,approximated location,3815,abyssal plain/ continental rise (>2000m),2.69,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Svalbard,Arctic Ocean,75.67,30.17,exact location,348.5,continental slope (>200-2000m),2.7,ex situ ,core incubation,TOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.19,-12.82,exact location,1442,continental slope (>200-2000m),2.7,in situ,lander with microprofiler,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.19,-12.74,exact location,1291,continental slope (>200-2000m),2.7,in situ,lander with microprofiler,DOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-24.89,13.17,exact location,1310,continental slope (>200-2000m),2.7,in situ,lander with microprofiler,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-28.95,14.17,exact location,1015,continental slope (>200-2000m),2.7,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.7532,-172.712,exact location,62,continental shelf (>50-200m),2.7,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Bering Sea,Pacific Ocean,62.75,-172.71,exact location,62,continental shelf (>50-200m),2.7,ex situ ,core incubation,TOU,NA,NA,no
Oregon shelf,Pacific Ocean,44.65,-124.3,exact location,81,continental shelf (>50-200m),2.7,in situ,eddy covariance system,TOU,fine sand,NA,no
"Sagami Bay, Japan",Pacific Ocean,35.0118,139.3615,exact location,1450,continental slope (>200-2000m),2.7,in situ,lander with microprofiler,DOU,NA,not investigated,no
Hikurangi Margin,Pacific Ocean,-41.78,175.42,exact location,1051,continental slope (>200-2000m),2.7,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Nansen Basin slope,Arctic Ocean,81.3,18.63,exact location,550,continental slope (>200-2000m),2.71,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Chatham Rise,Pacific Ocean,-43.29,-175.55,exact location,644,continental slope (>200-2000m),2.71,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-43.28,175.55,exact location,644,continental slope (>200-2000m),2.71,ex situ ,core incubation,TOU,silt/ sand/ clay,not investigated,no
E Greenland shelf,Arctic Ocean,79.002,-10.02,exact location,272,continental slope (>200-2000m),2.72,ex situ,core microprofiling,DOU,NA,not investigated,no
Campeche Bank,Gulf of Mexico,23.42,-87.53,approximated location,110,continental shelf (>50-200m),2.72,ex situ ,core incubation,TOU,sand/ silt/ clay,yes,no
"Taiwan, South China Sea",Pacific Ocean,10.5089,114.1914,exact location,2011,abyssal plain/ continental rise (>2000m),2.7225804,ex situ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.0628,-170.6238,exact location,50,near-shore (0-50m),2.74,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Bering Sea,Pacific Ocean,62.06,-170.62,exact location,50,near-shore (0-50m),2.74,ex situ ,core incubation,TOU,NA,NA,no
Chatham Rise,Pacific Ocean,-44.48,177.13,exact location,1241,continental slope (>200-2000m),2.74,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Chatham Rise,Pacific Ocean,-44.49,177.14,exact location,1238,continental slope (>200-2000m),2.74,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,70.71,-167.19,exact location,56,continental shelf (>50-200m),2.75,ex situ ,core incubation,TOU,silt,NA,no
"Taiwan, South China Sea",Pacific Ocean,22.2614,120.5599,exact location,379,continental slope (>200-2000m),2.7558882,ex situ,core microprofiling,DOU,NA,not investigated,no
Beaufort Sea,Arctic Ocean,73.39,-157.42,exact location,3000,abyssal plain/ continental rise (>2000m),2.76,ex situ ,core microprofiling,DOU,NA,not investigated,no
Nansen Basin slope,Arctic Ocean,81.42,30.75,exact location,400,continental slope (>200-2000m),2.76,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Smith Sound,Arctic Ocean,76.28,-74.24,exact location,465.5,continental slope (>200-2000m),2.79,ex situ ,core incubation,TOU,sand/ gravel,not investigated,no
Young Sound,Arctic Ocean,74.3,-20.3,approximated location,159.9,continental shelf (>50-200m),2.8,ex situ,core microprofiling,DOU,cohesive mud,not investigated,no
Celtic continental margin,Atlantic Ocean,49.38,-11.8,exact location,1000,continental slope (>200-2000m),2.8,ex situ,core incubation,TOU,silt,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.7932,-2.1688,exact location,1400,continental slope (>200-2000m),2.8,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.8177,-2.1633,exact location,110,continental shelf (>50-200m),2.8,ex situ ,core microprofiling,DOU,NA,no,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.8445,-2.1282,exact location,445,continental slope (>200-2000m),2.8,ex situ ,core microprofiling,DOU,NA,not investigated,no
Congo Canyon,Atlantic Ocean,-7.35,11.5,exact location,1304,continental slope (>200-2000m),2.8,in situ,lander with microprofiler,DOU,NA,not investigated,no
Skagerrak/ Kattegat,Atlantic Ocean,56.1833,11.5833,exact location,24,near-shore (0-50m),2.8,ex situ,core microprofiling,DOU,sandy mud,NA,no
Lake Baikal,Lake,51.693,104.783,exact location,1400,rift lake,2.8,ex situ,core microprofiling,DOU,NA,not investigated,no
central Chile,Pacific Ocean,-43.2167,-76,exact location,3459,abyssal plain/ continental rise (>2000m),2.8,in situ,lander with benthic chambers,TOU,NA,not investigated,no
central Chile,Pacific Ocean,-35.255,-73.42,exact location,2470,abyssal plain/ continental rise (>2000m),2.8,in situ,lander with benthic chambers,TOU,NA,not investigated,no
central Chile,Pacific Ocean,-35.2167,-73.1117,exact location,1445,continental slope (>200-2000m),2.8,in situ,lander with microprofiler,DOU,NA,not investigated,no
Beaufort Sea,Arctic Ocean,72.9,-158.33,exact location,1030,continental slope (>200-2000m),2.81,ex situ ,core microprofiling,DOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.23,-154.04,exact location,2125,abyssal plain/ continental rise (>2000m),2.81,ex situ ,core incubation,TOU,NA,not investigated,no
California,Pacific Ocean,32.67,-117.6,approximated location,1193,continental slope (>200-2000m),2.82,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
New Zealand,Pacific Ocean,-30.99,177.5,exact location,4121.3,abyssal plain/ continental rise (>2000m),2.82,in situ,benthic incubation chamber,TOU,NA,not investigated,no
Yellow Sea,Pacific Ocean,34.4582,124.2094,approximated location,80.5,continental shelf (>50-200m),2.825484765,ex situ,core incubation,TOU,clayey silt,NA,no
Adriatic Sea,Mediterranean Sea,44.5765,12.4021,approximated location,18,near-shore (0-50m),2.83,ex situ ,core incubation,TOU,muddy silt,no,no
Bering Sea,Pacific Ocean,62.56,-173.09,exact location,62,continental shelf (>50-200m),2.83,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-119,approximated location,1300,continental slope (>200-2000m),2.83,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Greenland,Arctic Ocean,74.3,-20.27,exact location,85,continental shelf (>50-200m),2.84,ex situ ,core microprofiling,DOU,NA,NA,no
Svalbard,Arctic Ocean,81.4333,30.75,exact location,405,continental slope (>200-2000m),2.84,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.6,-158.95,exact location,77,continental shelf (>50-200m),2.85,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Mexico,Gulf of Mexico,29,-88,approximated location,1850,continental slope (>200-2000m),2.85,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-121,approximated location,3815,abyssal plain/ continental rise (>2000m),2.858333333,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,81.3,18.6333,exact location,530,continental slope (>200-2000m),2.86,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-43.43,178.5,exact location,350,continental slope (>200-2000m),2.86,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-42.98,178.5,exact location,450,continental slope (>200-2000m),2.86,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,20.13,116.204,exact location,1022,continental slope (>200-2000m),2.8694448,ex situ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,59.89,-178.9,exact location,656.3,continental slope (>200-2000m),2.87,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,58.28,-174.67,exact location,2372,abyssal plain/ continental rise (>2000m),2.87,ex situ ,core incubation,TOU,NA,not investigated,no
Levantine Basin,Mediterranean Sea,34.9705,23.6832,approximated location,1079,continental slope (>200-2000m),2.871794872,ex situ ,core incubation,TOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,80.43,-13.31,exact location,285,continental slope (>200-2000m),2.88,ex situ ,core incubation,TOU,NA,not investigated,no
Adriatic Sea,Mediterranean Sea,43.7356,13.6626,approximated location,18,near-shore (0-50m),2.88,ex situ ,core incubation,TOU,muddy silt,yes,no
Chukchi Sea,Arctic Ocean,73.04,-157.94,exact location,2001,abyssal plain/ continental rise (>2000m),2.89,ex situ ,core incubation,TOU,silt,not investigated,no
Lake Superior,Lake,47.09,-88.05,approximated location,84,great lake,2.89,ex situ,core microprofiling,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.19,-12.82,exact location,1442,continental slope (>200-2000m),2.9,ex situ,core microprofiling,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-29.885,8.665,exact location,4986,abyssal plain/ continental rise (>2000m),2.9,ex situ ,core incubation,TOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-24.3117,12.9983,exact location,1305,continental slope (>200-2000m),2.9,in situ,lander with microprofiler,DOU,NA,not investigated,no
central Chile,Pacific Ocean,-35.255,-73.42,exact location,2470,abyssal plain/ continental rise (>2000m),2.9,in situ,core microprofiling,DOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.4161,120.446,exact location,23,near-shore (0-50m),2.9,ex situ,core incubation,TOU,fine silt,NA,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-121,approximated location,3815,abyssal plain/ continental rise (>2000m),2.908333333,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,73.25,-160.32,exact location,568,continental slope (>200-2000m),2.92,ex situ ,core incubation,TOU,silt,not investigated,no
British Columbia,Pacific Ocean,48.32,-126.05,exact location,987,continental slope (>200-2000m),2.92,ex situ ,core incubation,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-119,approximated location,1300,continental slope (>200-2000m),2.925,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Yellow Sea,Pacific Ocean,36.4891,124.0609,approximated location,76,continental shelf (>50-200m),2.936288089,ex situ,core incubation,TOU,clay,NA,no
British Columbia,Pacific Ocean,48.32,-126.05,exact location,987,continental slope (>200-2000m),2.94,ex situ ,core incubation,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,76.6,34.8167,exact location,188,continental shelf (>50-200m),2.95,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.1628,120.621,exact location,213,continental slope (>200-2000m),2.9575363,ex situ,core microprofiling,DOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-2.07,8.63,exact location,1310,continental slope (>200-2000m),2.96,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,73.49,-159.75,exact location,2063,abyssal plain/ continental rise (>2000m),2.98,ex situ ,core incubation,TOU,silt,not investigated,no
Bransfield Strait,Southern Ocean,-62.98,-60.22,exact location,1002,continental slope (>200-2000m),2.98,in situ,lander with microprofiler,DOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,65.17,-168.93,exact location,47,near-shore (0-50m),2.99,ex situ ,core incubation,TOU,NA,no,no
Fram Strait,Arctic Ocean,79.028,11.087,exact location,275,continental slope (>200-2000m),3,ex situ ,core microprofiling,DOU,mud,not investigated,no
Kong Karls Renna,Arctic Ocean,78.67,32.15,exact location,280,continental slope (>200-2000m),3,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Atlantic Ocean,Atlantic Ocean,-37.21,-52.65,exact location,3442,abyssal plain/ continental rise (>2000m),3,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,19.4967,-17.249,approximated location,103,continental shelf (>50-200m),3,in situ,benthic incubation chamber,TOU,NA,no,no
Goban Spur,Atlantic Ocean,49.15,-13.09,exact location,2182,abyssal plain/ continental rise (>2000m),3,in situ,lander with microprofiler,DOU,NA,not investigated,no
Porcupine Seabight,Atlantic Ocean,51,-13,exact location,2000,continental slope (>200-2000m),3,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.6265,-2.0752,exact location,1050,continental slope (>200-2000m),3,ex situ ,core microprofiling,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-23.34,12.38,exact location,1947,continental slope (>200-2000m),3,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.3262,120.4056,exact location,92.7,continental shelf (>50-200m),3.0050009,ex situ,core microprofiling,DOU,fine silt,NA,no
New Zealand,Pacific Ocean,-29.27,-176.7,exact location,4806.7,abyssal plain/ continental rise (>2000m),3.01,in situ,benthic incubation chamber,TOU,NA,not investigated,no
Arctic Ocean,Arctic Ocean,71.323,-127.606,exact location,206,continental slope (>200-2000m),3.019005848,ex situ ,core incubation,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,81.65,29.95,exact location,2490,abyssal plain/ continental rise (>2000m),3.02,ex situ ,core incubation,TOU,NA,not investigated,no
Greenland,Arctic Ocean,75.69,-19.52,exact location,40,near-shore (0-50m),3.04,ex situ ,core microprofiling,DOU,NA,NA,no
Lake Superior,Lake,47.04,-91.16,approximated location,165,great lake,3.04,ex situ,core microprofiling,DOU,NA,not investigated,no
"northern shelf and slope region, New Zealand",Pacific Ocean,-36.6055,176.1103,approximated location,355,continental slope (>200-2000m),3.04,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.8574,120.1391,exact location,1616,continental slope (>200-2000m),3.0405026,ex situ,core incubation,TOU,NA,not investigated,no
Hannah Shoal,Arctic Ocean,72.63,-158.75,exact location,96,continental shelf (>50-200m),3.05,ex situ ,core incubation,TOU,silt/ coarse sand/ very fine sand,NA,no
Greenland,Arctic Ocean,72.87,-25.12,exact location,40,near-shore (0-50m),3.06,ex situ ,core microprofiling,DOU,NA,NA,no
California,Pacific Ocean,35.7,-121.5,exact location,532,continental slope (>200-2000m),3.07,in situ,lander with benthic chambers,TOU,NA,not investigated,no
California,Pacific Ocean,32.47,-120.33,approximated location,3815,abyssal plain/ continental rise (>2000m),3.07,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Levantine Basin,Mediterranean Sea,34.9705,23.6832,approximated location,1079,continental slope (>200-2000m),3.076923077,ex situ ,core incubation,TOU,NA,not investigated,no
Voring Plateau,Atlantic Ocean,67.65,5.79,exact location,1405,continental slope (>200-2000m),3.08,in situ,lander with microprofiler,DOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,70.67,171.33,exact location,30,near-shore (0-50m),3.09,ex situ ,core incubation,TOU,NA,NA,no
California,Pacific Ocean,35.7,-121.5,exact location,532,continental slope (>200-2000m),3.09,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Southern Ocean,Southern Ocean,-65.75,-69.07,exact location,225,continental slope (>200-2000m),3.09,in situ,lander with microprofiler,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.19,-12.82,exact location,1442,continental slope (>200-2000m),3.1,ex situ,core microprofiling,DOU,NA,not investigated,no
Celtic continental margin,Atlantic Ocean,49.483,-11.1328,exact location,200,continental shelf (>50-200m),3.1,ex situ,core incubation,TOU,very fine sand,not investigated,no
Goban Spur,Atlantic Ocean,49.48,-10.86,exact location,220,continental slope (>200-2000m),3.1,ex situ ,core incubation,TOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.5983,-2.066,exact location,555,continental slope (>200-2000m),3.1,ex situ ,core microprofiling,DOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-17.165,10.9967,exact location,2060,abyssal plain/ continental rise (>2000m),3.1,ex situ ,core incubation,TOU,NA,not investigated,no
Congo Canyon,Atlantic Ocean,-7.35,11.5,exact location,1304,continental slope (>200-2000m),3.1,ex situ,core microprofiling,DOU,NA,not investigated,no
Black Sea,Black Sea,43.69,30.07,exact location,155,continental shelf (>50-200m),3.1,ex situ ,core incubation,TOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,29.0834,-93.0127,exact location,23,near-shore (0-50m),3.1,in situ,lander with benthic chambers,TOU,NA,no,no
NE Water Polynya,Arctic Ocean,79.62,-15.9,exact location,175,continental shelf (>50-200m),3.12,ex situ ,core incubation,TOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,80.27,-8.67,exact location,290,continental slope (>200-2000m),3.12,ex situ ,core incubation,TOU,NA,not investigated,no
Mid-Atlantic continental slope,Atlantic Ocean,36.33,-74.73,exact location,731,continental slope (>200-2000m),3.12,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Black Sea,Black Sea,44,30.48,exact location,137,continental shelf (>50-200m),3.12,ex situ ,core incubation,TOU,NA,NA,no
Arabian Sea,Indian Ocean,14.43,64.57,exact location,3950,abyssal plain/ continental rise (>2000m),3.12,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Mediterranean Sea,Mediterranean Sea,42.83,4.33,exact location,480,continental slope (>200-2000m),3.12,ex situ ,core microprofiling,DOU,silt,not investigated,no
N Greenland,Arctic Ocean,68.5,-19.65,exact location,1186,continental slope (>200-2000m),3.14,ex situ ,core incubation,TOU,silt,not investigated,no
Chukchi Sea,Arctic Ocean,72.18,-155.06,exact location,1003,continental slope (>200-2000m),3.15,ex situ ,core incubation,TOU,NA,not investigated,no
Lake Superior,Lake,48.025,-87.47,approximated location,240,great lake,3.16,ex situ,core microprofiling,DOU,NA,not investigated,no
Campeche Bank,Gulf of Mexico,21.98,-90.52,approximated location,50,near-shore (0-50m),3.17,ex situ ,core incubation,TOU,sand/ silt/ clay,yes,no
Gulf of Mexico,Gulf of Mexico,28.02,-86.13,approximated location,750,continental slope (>200-2000m),3.17,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.1848,120.543,exact location,664,continental slope (>200-2000m),3.1751011,ex situ,core microprofiling,DOU,NA,not investigated,no
Arabian Sea,Indian Ocean,15.58,68.58,exact location,3950,abyssal plain/ continental rise (>2000m),3.18,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,73.11,-162.94,exact location,150,continental shelf (>50-200m),3.19,ex situ ,core incubation,TOU,NA,NA,no
Barrow Canyon,Arctic Ocean,72.01,-154.7,exact location,1023,continental slope (>200-2000m),3.19,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.32,-167.15,exact location,48,near-shore (0-50m),3.19,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,72.83,-158.24,exact location,474,continental slope (>200-2000m),3.2,ex situ ,core incubation,TOU,NA,not investigated,no
Beaufort Sea,Arctic Ocean,70.64,-135.89,exact location,241,continental slope (>200-2000m),3.2,ex situ ,core incubation,TOU,fine silt with drop stones,not investigated,no
Svalbard,Arctic Ocean,78.6667,32.15,exact location,273,continental slope (>200-2000m),3.2,ex situ ,core incubation,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,77.43,40.31,exact location,208,continental slope (>200-2000m),3.2,ex situ ,core incubation,TOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.6153,-2.2907,exact location,1015,continental slope (>200-2000m),3.2,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.6615,-2.1047,exact location,1415,continental slope (>200-2000m),3.2,ex situ ,core microprofiling,DOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-5.5,11.07,exact location,1300,continental slope (>200-2000m),3.2,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Congo Canyon,Atlantic Ocean,-7.35,11.5,exact location,1304,continental slope (>200-2000m),3.2,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Adriatic Sea,Mediterranean Sea,42.85,14.75,exact location,251,continental slope (>200-2000m),3.2,in situ,lander with microprofiler,DOU,sand,not investigated,no
Washington,Pacific Ocean,46.82,-124.95,exact location,465,continental slope (>200-2000m),3.2,in situ,lander with benthic chambers,TOU,sand,not investigated,no
Oregon shelf,Pacific Ocean,44.65,-124.3,exact location,82,continental shelf (>50-200m),3.2,in situ,eddy covariance system,TOU,fine sand,NA,no
Laptev Sea,Arctic Ocean,75.37,-170.55,exact location,540,continental slope (>200-2000m),3.22,ex situ ,core incubation,TOU,NA,not investigated,no
Smith Sound,Arctic Ocean,77.34,-76.48,exact location,420,continental slope (>200-2000m),3.22,ex situ ,core incubation,TOU,gravel,not investigated,no
